fecha;hora;Nombre Producto;Precio
29/10/2023;09:27;Mermelada Dulcor Durazno Frasco 454 Gr;802
29/10/2023;09:27;CALABACIN (ANQUITO) X 700G;244
29/10/2023;09:27;MANTECA TONADITA X 200 GR;807
29/10/2023;09:27;ACEITE DE GIRASOL ALSAMAR X 900 ML;1.035
29/10/2023;09:27;MAYONESA HELLMANNS CLASICA X 475 Gr;595
29/10/2023;09:27;PAN FRANCÉS X 500 G;419
29/10/2023;09:27;GALLETAS PROVIDENCIA CRACKERS X 303 G.;447
29/10/2023;09:27;FIDEOS TALLARINES N7 MATARAZZO X 500 Gr;467
29/10/2023;09:27;PAPA CEPILLADA x 1 kg;799
29/10/2023;09:27;BATATA X 500 G;449
29/10/2023;09:27;Azucar Azucel 1 Kilo;1.025
29/10/2023;09:27;Arvejas Montenevi x 340 Gr;246
29/10/2023;09:27;Acelga Congelada Green Life 500 G;619
29/10/2023;09:27;CEBOLLA x 500 g;224
29/10/2023;09:27;BANDEJA LECHUGA MANTECOSA LAVADA SUEÑO VERDE X 200 Gr;1.670
29/10/2023;09:27;TOMATE PERITA X 500G;849
29/10/2023;09:27;MANDARINA X 1KG;549
29/10/2023;09:27;NARANJA P/JUGO X 1KG;549
29/10/2023;09:27;BANANA X 1 Kg;799
29/10/2023;09:27;POLLO FRESCO X UN. (APROX. 2,5KG);2.829
29/10/2023;09:27;MILANESA DE BOLA DE LOMO DE NOVILLITO x 500 g;1.999
29/10/2023;09:27;Huevo Blanco Carnave cartón X 12 Unidades;1.048
29/10/2023;09:27;Leche Entera C/Calcio LA LACTEO Larga Vida 1 L;440
29/10/2023;09:27;CERVEZA RUBIA BRAHMA CHOPP LATA 6 X 473ML;4.230
29/10/2023;09:27;YERBA MATE PLAYADITO SUAVE 1K.;2.092
